label,family,p,flights,method,status,obj,assigned_str,assigned,coverage_pct,complete,wall_s
feas_A_p4h7_d05,A-only,4,28,classical_milp,optimal,13027.0,-,,,False,2.07
feas_A_p4h7_d05,A-only,4,28,integrated_milp,optimal,16523.0,-,,,False,2.45
feas_A_p4h7_d05,A-only,4,28,greedy,heuristic,20513.0,28/28,28,100.0,True,1.73
feas_A_p4h7_d05,A-only,4,28,insertion,heuristic,20513.0,28/28,28,100.0,True,1.72
feas_A_p4h7_d05,A-only,4,28,greedy_insertion,heuristic,20513.0,28/28,28,100.0,True,1.74
feas_A_p4h7_d05,A-only,4,28,repair,heuristic,20513.0,28/28,28,100.0,True,1.83
feas_A_p4h7_d05,A-only,4,28,local_search,heuristic,20513.0,28/28,28,100.0,True,1.83
feas_A_p4h7_d05,A-only,4,28,dijkstra,heuristic,63014.0,28/28,28,100.0,True,1.98
feas_A_p4h7_d05,A-only,4,28,aco,heuristic,13027.0,28/28,28,100.0,True,2.68
feas_AB_p4h7_d05,A+B,4,16,classical_milp,optimal,7447.0,-,,,False,2.29
feas_AB_p4h7_d05,A+B,4,16,integrated_milp,optimal,7447.0,-,,,False,2.2
feas_AB_p4h7_d05,A+B,4,16,greedy,heuristic,11461.0,16/16,16,100.0,True,1.86
feas_AB_p4h7_d05,A+B,4,16,insertion,heuristic,11461.0,16/16,16,100.0,True,1.75
feas_AB_p4h7_d05,A+B,4,16,greedy_insertion,heuristic,11461.0,16/16,16,100.0,True,1.77
feas_AB_p4h7_d05,A+B,4,16,repair,heuristic,11461.0,16/16,16,100.0,True,1.77
feas_AB_p4h7_d05,A+B,4,16,local_search,heuristic,11461.0,16/16,16,100.0,True,1.91
feas_AB_p4h7_d05,A+B,4,16,dijkstra,heuristic,54446.0,16/16,16,100.0,True,1.84
feas_AB_p4h7_d05,A+B,4,16,aco,heuristic,7447.0,16/16,16,100.0,True,1.94
feas_ABCD_p4h7_d05,A+B+C+D,4,8,classical_milp,optimal,3728.0,-,,,False,1.82
feas_ABCD_p4h7_d05,A+B+C+D,4,8,integrated_milp,optimal,3728.0,-,,,False,1.92
feas_ABCD_p4h7_d05,A+B+C+D,4,8,greedy,heuristic,3728.0,8/8,8,100.0,True,1.71
feas_ABCD_p4h7_d05,A+B+C+D,4,8,insertion,heuristic,3728.0,8/8,8,100.0,True,1.66
feas_ABCD_p4h7_d05,A+B+C+D,4,8,greedy_insertion,heuristic,3728.0,8/8,8,100.0,True,1.8
feas_ABCD_p4h7_d05,A+B+C+D,4,8,repair,heuristic,3728.0,8/8,8,100.0,True,1.72
feas_ABCD_p4h7_d05,A+B+C+D,4,8,local_search,heuristic,3728.0,8/8,8,100.0,True,1.68
feas_ABCD_p4h7_d05,A+B+C+D,4,8,dijkstra,heuristic,24733.0,8/8,8,100.0,True,1.75
feas_ABCD_p4h7_d05,A+B+C+D,4,8,aco,heuristic,3728.0,8/8,8,100.0,True,1.73
feas_A_p4h7_d08,A-only,4,30,classical_milp,optimal,13942.0,-,,,False,1.91
feas_A_p4h7_d08,A-only,4,30,integrated_milp,optimal,17932.0,-,,,False,2.45
feas_A_p4h7_d08,A-only,4,30,greedy,heuristic,22954.0,30/30,30,100.0,True,1.72
feas_A_p4h7_d08,A-only,4,30,insertion,heuristic,22954.0,30/30,30,100.0,True,1.72
feas_A_p4h7_d08,A-only,4,30,greedy_insertion,heuristic,22954.0,30/30,30,100.0,True,1.66
feas_A_p4h7_d08,A-only,4,30,repair,heuristic,22954.0,30/30,30,100.0,True,1.68
feas_A_p4h7_d08,A-only,4,30,local_search,heuristic,22954.0,30/30,30,100.0,True,1.73
feas_A_p4h7_d08,A-only,4,30,dijkstra,heuristic,70420.0,30/30,30,100.0,True,1.74
feas_A_p4h7_d08,A-only,4,30,aco,heuristic,13942.0,30/30,30,100.0,True,1.88
feas_A_p6h10_d05,A-only,6,54,classical_milp,optimal,25100.0,-,,,False,2.08
feas_A_p6h10_d05,A-only,6,54,integrated_milp,optimal,32087.0,-,,,False,11.6
feas_A_p6h10_d05,A-only,6,54,greedy,heuristic,60121.0,54/54,54,100.0,True,1.73
feas_A_p6h10_d05,A-only,6,54,insertion,heuristic,60121.0,54/54,54,100.0,True,1.78
feas_A_p6h10_d05,A-only,6,54,greedy_insertion,heuristic,60121.0,54/54,54,100.0,True,1.75
feas_A_p6h10_d05,A-only,6,54,repair,heuristic,60121.0,54/54,54,100.0,True,1.77
feas_A_p6h10_d05,A-only,6,54,local_search,heuristic,53624.0,54/54,54,100.0,True,2.01
feas_A_p6h10_d05,A-only,6,54,dijkstra,heuristic,142685.0,51/54,51,94.44,False,2.01
feas_A_p6h10_d05,A-only,6,54,aco,heuristic,26099.0,54/54,54,100.0,True,2.34
